type,colnum,RMSE
TIGANME,1000,0.07282490497584455
TIGANGE,1000,0.07184628526136698
TIGANCON,1000,0.07267741420426795
TIGANME,2000,0.07174391471202858
TIGANGE,2000,0.06981749725301713
TIGANCON,2000,0.07114800505933798
TIGANME,5000,0.39400176897818506
TIGANGE,5000,0.3894049446938962
TIGANCON,5000,0.38576854769553104
GAIN,1000,0.0743921647765653
GAIN,2000,0.06956462139448785
GAIN,5000,0.3917079775281635
TIGANME,1000,0.07426892973771533
TIGANGE,1000,0.07308175511448851
TIGANCON,1000,0.07197768402072148
TIGANME,2000,0.07073465350759532
TIGANGE,2000,0.07001195113676496
TIGANCON,2000,0.07270579328705093
TIGANME,5000,0.3907195605583385
TIGANGE,5000,0.395939349065102
TIGANCON,5000,0.3892634315851893
GAIN,1000,0.0729437809451044
GAIN,2000,0.07044875252896537
GAIN,5000,0.3860782853958552
TIGANME,1000,0.07323366601189027
TIGANGE,1000,0.07220698952277065
TIGANCON,1000,0.07063423100346264
TIGANME,2000,0.07104944434369803
TIGANGE,2000,0.06944313000452508
TIGANCON,2000,0.07236075971638724
TIGANME,5000,0.3920161039031348
TIGANGE,5000,0.3916849052791807
TIGANCON,5000,0.3884783434082271
GAIN,1000,0.07411894791966668
GAIN,2000,0.06996288070152833
GAIN,5000,0.3919385786415711
TIGANME,1000,0.0727418887642762
TIGANGE,1000,0.07217031647496222
TIGANCON,1000,0.07205878006949272
TIGANME,2000,0.07054025943785433
TIGANGE,2000,0.07077129018495222
TIGANCON,2000,0.07324707035257418
TIGANME,5000,0.3903772689136499
TIGANGE,5000,0.38572641194225504
TIGANCON,5000,0.3821542263615961
GAIN,1000,0.07341596563633271
GAIN,2000,0.06924105892912479
GAIN,5000,0.3832084102325358
TIGANME,1000,0.07340238954231518
TIGANGE,1000,0.0716303311265008
TIGANCON,1000,0.07244658176324413
TIGANME,2000,0.07213496430372046
TIGANGE,2000,0.0700255173450955
TIGANCON,2000,0.07201484424996965
TIGANME,5000,0.3916424445946888
TIGANGE,5000,0.3887044833369852
TIGANCON,5000,0.3842574262763192
GAIN,1000,0.07506602214157672
GAIN,2000,0.06959299422700746
GAIN,5000,0.3948147453598336
TIGANME,1000,0.07318691580331707
TIGANGE,1000,0.0720561144643896
TIGANCON,1000,0.0727291502715645
TIGANME,2000,0.07105216839231625
TIGANGE,2000,0.06966832378224518
TIGANCON,2000,0.07123203559677041
TIGANME,5000,0.3936233757392351
TIGANGE,5000,0.3874749338326263
TIGANCON,5000,0.3839648311270357
GAIN,1000,0.07312343930774091
GAIN,2000,0.06912161212114575
GAIN,5000,0.3936301347603791
TIGANME,1000,0.07365498734951344
TIGANGE,1000,0.07186934009698727
TIGANCON,1000,0.07253245055129642
TIGANME,2000,0.07135768161144859
TIGANGE,2000,0.06951362118016287
TIGANCON,2000,0.07231073934644258
TIGANME,5000,0.3870407915498584
TIGANGE,5000,0.3873980794122932
TIGANCON,5000,0.38310329597418
GAIN,1000,0.07371479877883376
GAIN,2000,0.07022630875892771
GAIN,5000,0.3836200221042827
TIGANME,1000,0.0724398451277896
TIGANGE,1000,0.07076222589545013
TIGANCON,1000,0.07172178256453847
TIGANME,2000,0.07320348776075085
TIGANGE,2000,0.06925967082177907
TIGANCON,2000,0.07180804226269777
TIGANME,5000,0.3937543959282784
TIGANGE,5000,0.3895796341294563
TIGANCON,5000,0.3800754603919163
GAIN,1000,0.07398239381104815
GAIN,2000,0.06962993063888137
GAIN,5000,0.3938188883457354
TIGANME,1000,0.07169670457486325
TIGANGE,1000,0.07139795875979167
TIGANCON,1000,0.07065109720824993
TIGANME,2000,0.0707255633316688
TIGANGE,2000,0.0695163719579896
TIGANCON,2000,0.07268739651079506
TIGANME,5000,0.3909358885425639
TIGANGE,5000,0.3926724901868478
TIGANCON,5000,0.3832925691764139
GAIN,1000,0.07336739329644246
GAIN,2000,0.07080498884412345
GAIN,5000,0.3847958460282633
TIGANME,1000,0.07491922467302689
TIGANGE,1000,0.07088494011901827
TIGANCON,1000,0.0717423138396086
TIGANME,2000,0.06999004887160798
TIGANGE,2000,0.0703221133413661
TIGANCON,2000,0.07259451795307957
TIGANME,5000,0.3969960207181361
TIGANGE,5000,0.39149315254072775
TIGANCON,5000,0.3859152567074911
GAIN,1000,0.07484178869072798
GAIN,2000,0.06896438294855307
GAIN,5000,0.38724376076933525
